tick,x,y
1,29.283031,3.4101741
2,29.27688,3.3901584
3,29.298191,3.4056098
4,29.296684,3.4321408
5,29.30147,3.4222004
6,29.29507,3.4418695
7,29.299862,3.4184453
8,29.312227,3.4675472
9,29.34843,3.3013878
10,29.385334,3.5012126
11,29.33582,3.6005366
12,29.377583,3.3145278
13,29.27354,3.1037595
14,28.918848,3.0074773
15,29.497532,3.0368564
16,29.752853,2.869343
17,28.288095,2.7929602
18,28.154045,2.8858628
19,28.112822,2.8956563
20,28.16668,2.4612682
21,29.736917,2.2212942
22,28.179235,2.503189
23,29.052305,3.574872
24,27.055677,4.098041
25,28.306616,9.200955
26,28.52289,10.114288
27,29.106134,12.44048
28,28.990746,12.999005
29,28.669254,14.032015
30,29.534678,15.85894
31,28.039713,13.9944315
32,28.056435,13.6615305
33,28.67193,14.4929
34,29.38905,14.075756
35,29.394558,13.27773
36,29.060343,14.430692
37,29.051859,14.501537
38,28.398949,12.489169
39,28.728788,12.507699
40,28.390036,11.271575
41,28.343353,10.9370165
42,26.155554,9.578597
43,25.11787,8.703226
44,22.521393,4.105113
45,19.156017,2.4263992
46,15.292516,4.329923
47,13.083154,5.70369
48,14.376274,8.357116
49,18.883429,13.2064495
50,19.556007,13.06037
51,20.080564,11.740633
52,20.398952,10.502702
53,19.310333,6.8835287
54,15.172058,3.8395262
55,11.626978,2.3064554
56,7.9710097,2.3835664
57,5.115321,1.9944179
58,11.864964,2.0160317
59,26.541924,2.509985
60,29.112873,5.7727885
61,28.54117,11.558027
62,28.556105,13.996489
63,29.056973,13.377157
64,24.214409,15.035324
65,23.670141,14.733305
66,21.82919,15.112163
67,18.945333,15.182919
68,15.992078,14.718277
69,15.841297,14.945274
70,14.21878,14.86472
71,13.489269,15.011183
72,13.426641,15.196853
73,10.064209,15.118772
74,10.5841465,15.20382
75,7.822624,14.569395
76,7.046908,14.688497
77,4.519946,15.591237
78,5.0040975,15.462777
79,4.77343,14.706735
80,4.0373363,13.270944
81,4.5525413,14.677168
82,3.7578905,15.083204
83,3.4189591,13.847301
